778  3
0.013928  -0.003294  -0.025561
0.019267  -0.007025  -0.029105
0.075456  0.016606  -0.022699
0.038241  -0.001261  -0.041680
0.035758  0.006681  -0.036508
0.084543  0.022096  -0.015711
0.081341  0.026111  -0.007385
0.090848  0.028086  -0.006914
0.016575  0.016288  -0.006246
0.063685  0.024735  -0.001707
0.077865  0.027122  -0.000615
0.089085  0.029530  0.000280
0.097151  0.031717  0.000142
0.098296  0.029722  -0.007709
-0.022243  0.014711  0.028786
-0.027507  0.013659  0.023430
0.106634  0.033085  -0.009189
0.105119  0.034548  -0.000134
0.074699  0.027459  0.008037
0.071253  0.026409  0.017995
0.061095  0.024915  0.006573
0.056467  0.023843  0.016660
0.017686  0.020330  0.003228
-0.042965  0.008110  0.021794
-0.032567  0.007980  0.020282
-0.032203  0.002168  0.020187
-0.043182  0.004065  0.020645
-0.027076  0.007954  0.019493
-0.032116  0.012523  0.024087
0.053678  0.019204  0.028534
0.002374  -0.003464  0.012721
0.070365  0.019535  0.031272
0.046875  0.013427  0.041916
0.059803  0.012414  0.043671
0.087269  0.018611  0.036672
0.075938  0.013525  0.043925
0.103415  0.022615  0.033118
0.094983  0.021041  0.034042
0.066112  0.008470  0.051341
-0.041495  -0.002405  0.032796
-0.041537  -0.003307  0.027392
0.102506  0.029585  0.025058
0.052546  -0.022705  0.043895
0.069982  -0.013790  -0.004289
0.068240  -0.011667  0.000495
0.077859  -0.016333  -0.021451
0.073140  -0.017038  -0.010834
-0.041403  0.000993  0.036708
0.002141  0.000441  -0.007585
0.005152  0.001766  -0.008514
0.058971  -0.017877  0.060159
0.052123  -0.017612  0.063503
0.052179  -0.005012  0.067536
0.053517  -0.012003  0.067345
0.061147  -0.010405  0.063542
0.059916  -0.002717  0.062895
0.078957  -0.014916  0.002638
0.079544  -0.015725  -0.001039
0.078975  0.005011  -0.029174
0.079148  -0.006462  -0.030298
0.003701  0.007414  0.037372
0.011410  0.013141  0.034217
0.003267  0.013077  0.033306
-0.004234  0.015453  0.027690
-0.000815  0.001751  0.013079
-0.001379  0.004564  0.017730
0.086741  -0.018681  0.019214
0.073924  -0.017408  0.014483
0.041075  -0.016272  0.046430
0.037303  -0.011804  0.051022
0.022854  -0.007952  0.003911
0.006597  0.014941  -0.005201
0.007102  0.019117  0.002686
0.013104  -0.007087  0.003687
-0.042301  0.009220  0.035614
-0.041907  0.004630  0.037502
0.003901  0.015746  0.027051
0.028766  -0.011099  -0.016686
0.013004  0.012883  -0.010068
0.003773  0.008333  -0.008238
0.039507  -0.009405  -0.040227
0.103228  0.033061  0.013095
-0.032227  -0.002324  0.023414
-0.041757  -0.001735  0.022819
-0.042212  0.011281  0.024616
-0.041570  0.012444  0.030347
0.088518  -0.006377  -0.024986
0.066641  -0.010599  0.003606
0.058326  0.005204  0.057708
0.049330  0.000889  0.064188
0.006126  -0.005437  0.003316
0.029514  0.006410  -0.030552
0.019745  0.015015  -0.019463
0.012864  0.014915  -0.021535
0.008299  0.014149  -0.015642
0.004125  0.008972  -0.011550
-0.046945  0.010443  0.024450
-0.046287  0.011735  0.030092
-0.047388  0.008959  0.035503
-0.047146  0.004789  0.037312
-0.045607  0.000725  0.036146
-0.048188  0.007514  0.021538
-0.048581  0.003863  0.020783
-0.045874  -0.001469  0.022731
-0.053006  0.006509  0.021453
-0.055272  0.009857  0.024768
-0.061166  0.005858  0.036127
-0.056095  0.008462  0.035271
